time,YEAR,MO,DY,HR,T2M,WS10M,RH2M,PRECTOTCORR,LAT,LON
2022-10-16 20:00:00,2022,10,16,20,22.64,3.02,96.44,12.56,12.98,77.57
2022-10-16 21:00:00,2022,10,16,21,22.48,3.31,96.82,11.52,12.98,77.57
2022-10-16 22:00:00,2022,10,16,22,22.31,3.48,96.93,8.14,12.98,77.57
2022-10-16 23:00:00,2022,10,16,23,22.16,3.99,96.78,6.29,12.98,77.57
2022-10-17 00:00:00,2022,10,17,0,21.99,4.05,96.94,6.5,12.98,77.57
2022-10-17 01:00:00,2022,10,17,1,21.8,3.63,97.11,8.95,12.98,77.57
2022-10-17 02:00:00,2022,10,17,2,21.58,3.34,97.32,9.77,12.98,77.57
2022-10-17 03:00:00,2022,10,17,3,21.28,2.32,97.9,8.9,12.98,77.57
2022-10-17 04:00:00,2022,10,17,4,20.98,1.82,98.48,5.85,12.98,77.57
2022-10-17 05:00:00,2022,10,17,5,20.76,1.9,98.66,4.08,12.98,77.57
2022-10-17 06:00:00,2022,10,17,6,21.32,2.56,97.24,2.66,12.98,77.57
2022-10-17 07:00:00,2022,10,17,7,22.24,3.07,94.91,4.97,12.98,77.57
2022-10-17 08:00:00,2022,10,17,8,23.33,3.24,90.21,0.44,12.98,77.57
2022-10-17 09:00:00,2022,10,17,9,24.52,3.28,83.76,0.66,12.98,77.57
2022-10-17 10:00:00,2022,10,17,10,25.42,3.14,79.02,0.84,12.98,77.57
2022-10-17 11:00:00,2022,10,17,11,26.13,3.02,75.59,1.03,12.98,77.57
2022-10-17 12:00:00,2022,10,17,12,26.64,2.87,72.74,1.25,12.98,77.57
2022-10-17 13:00:00,2022,10,17,13,27.1,2.78,70.37,1.23,12.98,77.57
2022-10-17 14:00:00,2022,10,17,14,27.04,2.83,71.1,1.48,12.98,77.57
2022-10-17 15:00:00,2022,10,17,15,26.51,2.86,75.48,1.51,12.98,77.57
2022-10-17 16:00:00,2022,10,17,16,25.58,2.68,81.36,1.25,12.98,77.57
2022-10-17 17:00:00,2022,10,17,17,24.0,2.26,90.39,1.18,12.98,77.57
2022-10-17 18:00:00,2022,10,17,18,23.07,2.39,93.74,1.07,12.98,77.57
2022-10-17 19:00:00,2022,10,17,19,22.74,2.88,94.71,1.19,12.98,77.57
2022-10-17 20:00:00,2022,10,17,20,22.44,3.32,95.82,1.38,12.98,77.57
2022-10-17 21:00:00,2022,10,17,21,22.19,3.6,96.59,1.24,12.98,77.57
2022-10-17 22:00:00,2022,10,17,22,21.93,3.52,97.17,1.07,12.98,77.57
2022-10-17 23:00:00,2022,10,17,23,21.69,3.13,97.39,0.93,12.98,77.57
2022-10-18 00:00:00,2022,10,18,0,21.43,2.54,97.73,0.94,12.98,77.57
2022-10-18 01:00:00,2022,10,18,1,21.26,2.52,97.79,0.53,12.98,77.57
2022-10-18 02:00:00,2022,10,18,2,21.15,2.84,97.65,0.4,12.98,77.57
2022-10-18 03:00:00,2022,10,18,3,21.07,3.33,97.29,0.45,12.98,77.57
2022-10-18 04:00:00,2022,10,18,4,20.95,3.37,97.38,0.74,12.98,77.57
2022-10-18 05:00:00,2022,10,18,5,20.72,2.63,98.26,0.83,12.98,77.57
2022-10-18 06:00:00,2022,10,18,6,21.13,2.65,97.12,0.7,12.98,77.57
2022-10-18 07:00:00,2022,10,18,7,22.28,3.21,93.23,0.75,12.98,77.57
2022-10-18 08:00:00,2022,10,18,8,23.53,3.17,87.31,1.51,12.98,77.57
2022-10-18 09:00:00,2022,10,18,9,24.79,2.71,80.65,1.81,12.98,77.57
2022-10-18 10:00:00,2022,10,18,10,25.75,2.13,75.36,1.89,12.98,77.57
2022-10-18 11:00:00,2022,10,18,11,26.51,1.61,71.47,2.27,12.98,77.57
2022-10-18 12:00:00,2022,10,18,12,26.96,1.3,68.58,2.28,12.98,77.57
2022-10-18 13:00:00,2022,10,18,13,27.15,1.25,66.91,2.43,12.98,77.57
2022-10-18 14:00:00,2022,10,18,14,26.96,1.55,67.41,2.65,12.98,77.57
2022-10-18 15:00:00,2022,10,18,15,26.11,1.93,72.45,3.13,12.98,77.57
2022-10-18 16:00:00,2022,10,18,16,24.95,1.94,79.93,4.56,12.98,77.57
2022-10-18 17:00:00,2022,10,18,17,23.43,1.86,87.22,5.42,12.98,77.57
2022-10-18 18:00:00,2022,10,18,18,22.54,1.84,92.07,7.43,12.98,77.57
2022-10-18 19:00:00,2022,10,18,19,22.1,1.62,93.82,10.18,12.98,77.57
2022-10-18 20:00:00,2022,10,18,20,21.8,1.48,95.05,14.09,12.98,77.57
2022-10-18 21:00:00,2022,10,18,21,21.53,1.31,95.97,18.64,12.98,77.57
2022-10-18 22:00:00,2022,10,18,22,21.3,1.32,96.49,25.05,12.98,77.57
2022-10-18 23:00:00,2022,10,18,23,21.14,1.39,96.75,33.08,12.98,77.57
